%time,field.left_wheel,field.right_wheel
1304221326868829965,3.92755222321,3.7704501152
1304221326904999971,4.00551366806,3.83136081696
1304221326947437047,3.5524930954,3.84853434563
1304221326987467050,3.76952600479,3.76952600479
1304221327027467966,3.60907173157,3.76598787308
1304221327067446947,3.93021583557,3.61579847336
1304221327107408046,3.77078461647,3.77078461647
1304221327147417068,3.76949000359,3.76949000359
1304221327187434911,3.76903510094,3.76903510094
1304221327227427005,3.92490005493,3.7679040432
1304221327267438888,3.77343201637,3.77343201637
1304221327307255029,3.94164013863,3.94164013863
1304221327347415924,3.75532436371,5.32004308701
1304221327387411117,3.76623249054,4.39393806458
1304221327435452938,3.14429211617,3.40631628036
1304221327475482940,4.07936811447,3.92246937752
1304221327519443035,3.43067073822,4.00244903564
1304221327559487104,3.92238426208,3.92238426208
1304221327587440013,4.72189188004,4.72189188004
1304221327627445936,3.76911211014,3.92615842819
1304221327667479991,3.61185455322,3.92592906952
1304221327719460964,3.14161658287,3.6249423027
1304221327755428075,4.1888461113,3.83977556229
1304221327799424886,3.42746520042,3.85589814186
1304221327831449031,4.71302032471,4.32026863098
1304221327875526905,3.42088079453,3.84849071503
1304221327915437936,3.7783010006,3.46344256401
1304221327951481103,4.17865180969,4.35276222229
1304221327995410919,3.43359899521,3.43359899521
1304221328035449981,3.7692759037,3.7692759037
1304221328071439027,4.36460924149,4.36460924149
1304221328107466936,3.83463120461,3.83463120461
1304221328159414052,3.26481890678,3.50665736198
1304221328199419021,3.77296972275,3.77296972275
1304221328232726097,4.71572399139,4.14983701706
1304221328271914958,3.84770917892,3.84770917892
1304221328307945966,3.66296434402,3.8373913765
1304221328347927093,3.77199029922,3.61482405663
1304221328387790918,3.76621484756,3.76621484756
1304221328427743911,3.93603038788,3.77858924866
1304221328467843055,3.76083993912,3.60413813591
1304221328507879972,3.93012428284,3.77291941643
1304221328547369956,3.65972709656,3.8188457489
1304221328587095975,3.7866563797,3.62887907028
1304221328635027885,3.53866076469,3.8007838726
1304221328667824983,4.02714920044,3.83538031578
1304221328707837104,3.77017736435,3.92726826668
1304221328747680902,3.79479622841,3.79479622841
1304221328795114040,3.03917765617,3.43559217453
1304221328831253051,4.18198251724,4.35623216629
1304221328875194072,3.43265771866,3.57568502426
1304221328911200046,4.18555355072,4.18555355072
1304221328947242975,4.1893248558,3.66565942764
1304221328991048097,3.57394337654,3.43098545074
1304221329034787893,3.44240808487,3.72927546501
1304221329071223974,4.3339214325,4.3339214325
1304221329135631084,4.00052165985,3.70780086517
1304221329163594007,4.03988265991,3.81544470787
1304221329191545009,3.81040120125,3.81040120125
1304221329227606058,3.8422100544,3.8422100544
1304221329267570972,3.77112555504,3.77112555504
1304221329307559013,3.7698340416,3.92691040039
1304221329347585916,3.76486420631,3.92173361778
1304221329387553930,3.77504372597,3.77504372597
1304221329427548885,3.77024769783,3.77024769783
1304221329467530965,3.76671624184,3.92366266251
1304221329507565021,3.92992186546,3.92992186546
1304221329547506093,3.76996779442,3.76996779442
1304221329587558984,3.92676329613,3.92676329613
1304221329627556085,3.76797270775,3.76797270775
1304221329667511940,3.76949501038,3.92655754089
1304221329707571029,3.76477575302,3.60791015625
1304221329747497081,3.77527594566,3.77527594566
1304221329787523984,3.76936745644,3.76936745644
1304221329827512025,3.76985764503,3.76985764503
1304221329867528915,3.77040910721,3.77040910721
1304221329907464981,3.77001738548,3.77001738548
1304221329947521924,3.76709651947,3.76709651947
1304221329987525939,3.76686930656,3.60991644859
1304221330027570009,3.77591538429,3.77591538429
1304221330067583084,3.76561021805,3.76561021805
1304221330107566118,3.77443909645,3.77443909645
1304221330147916078,3.74466872215,3.74466872215
1304221330187918901,3.7701125145,3.9272005558
1304221330231884956,3.71529984474,3.71529984474
1304221330267944097,3.83384823799,3.65958237648
1304221330307859897,3.6161441803,3.77336788177
1304221330347860097,3.76598763466,3.76598763466
1304221330387813091,3.77078318596,3.77078318596
1304221330427984952,3.76574492455,3.76574492455
1304221330467797040,3.77682209015,3.77682209015
1304221330507772922,3.61317443848,3.77026891708
1304221330547986984,3.7626273632,3.7626273632
1304221330587856054,3.77764368057,3.77764368057
1304221330627882957,3.76052284241,3.76052284241
